codigo,familia,seccion,descripcion,pdf,familias_todas
031600700,Accesorios para Bano,Interfoliadas Interfoliadas Acero Inoxidable,,03_Accesorios-Bano.pdf,Accesorios para Bano
031700100,Accesorios para Bano,Esquinero Porta Esponja Mediano,,03_Accesorios-Bano.pdf,Accesorios para Bano
031700200,Accesorios para Bano,Semicírculo Porta Shampoo,,03_Accesorios-Bano.pdf,Accesorios para Bano
031700400,Accesorios para Bano,Esquinero Porta Esponja Mediano,,03_Accesorios-Bano.pdf,Accesorios para Bano
031853510,Accesorios para Bano,Asiento de Seguridad Simple,,03_Accesorios-Bano.pdf,Accesorios para Bano
031886400,Accesorios para Bano,Asiento Seguridad Ajuste de Altura en las,,03_Accesorios-Bano.pdf,Accesorios para Bano
040000100,Griferia General,Grifería General,Inox Alta,04_Griferia-General.pdf,Griferia General
040000101,Griferia General,Multiuso (82 cms máx),,04_Griferia-General.pdf,Griferia General
040000102,Griferia General,Grifería General,,04_Griferia-General.pdf,Griferia General
040101001,Griferia General,Económica Simple,,04_Griferia-General.pdf,Griferia General
040102001,Griferia General,Llave Lavatorio Monoblock Lavatorio Monoblock Bidet,,04_Griferia-General.pdf,Griferia General
040202001,Griferia General,Llave Lavatorio Monoblock Lavatorio Monoblock Bidet,,04_Griferia-General.pdf,Griferia General
040301001,Griferia General,Combinación Tina Ducha,,04_Griferia-General.pdf,Griferia General
040301002,Griferia General,Sin Garantía Sin Garantía Sin Garantía,,04_Griferia-General.pdf,Griferia General
040302001,Griferia General,Combinación Tina Ducha Combinación Ducha,,04_Griferia-General.pdf,Griferia General
040401001,Griferia General,Combinación Ducha,,04_Griferia-General.pdf,Griferia General
040401002,Griferia General,Sin Garantía Sin Garantía Sin Garantía,,04_Griferia-General.pdf,Griferia General
040402001,Griferia General,Combinación Tina Ducha Combinación Ducha,,04_Griferia-General.pdf,Griferia General
040501001,Griferia General,Combinación Tina Ducha,Fundido Alto Muy Muy Mejorado,04_Griferia-General.pdf,Griferia General
040501003,Griferia General,Sin Garantía Sin Garantía Sin Garantía,,04_Griferia-General.pdf,Griferia General
040502001,Griferia General,Monoblock Lavaplato Combinación Lavaplato Cuerpo Fundido,,04_Griferia-General.pdf,Griferia General
040601001,Griferia General,Muy Mejorado Económica Muy Mejorado,,04_Griferia-General.pdf,Griferia General
040602001,Griferia General,Llave Lavatorio Monoblock Lavatorio Monoblock Bidet,,04_Griferia-General.pdf,Griferia General
040604001,Griferia General,Muy Mejorado Económica Muy Mejorado,,04_Griferia-General.pdf,Griferia General
040604002,Griferia General,Económica Simple,Monoblock Lavatorio,04_Griferia-General.pdf,Griferia General
040605002,Griferia General,Mejorada Sin Garantía Mejorada Sin Garantía Sin Garantía,,04_Griferia-General.pdf,Griferia General
040605006,Griferia General,Mejorada Sin Garantía Mejorada Sin Garantía Sin Garantía,,04_Griferia-General.pdf,Griferia General
040606002,Griferia General,Mejorada Sin Garantía Mejorada Sin Garantía Sin Garantía,"): Zamak Cromado, Botón C y F, Diámetro Exterior 67 mm",04_Griferia-General.pdf,Griferia General
040701001,Griferia General,Lavacopas 04,) Manilla: Acero Inox 304,04_Griferia-General.pdf,Griferia General
040701002,Griferia General,Lavacopas Plus,) Diámetro Cuello: 18 mm,04_Griferia-General.pdf,Griferia General
040701004,Griferia General,Lavacopas Inox Lavacopas Notte,,04_Griferia-General.pdf,Griferia General
040701007,Griferia General,Lavacopas Inox Lavacopas Notte,,04_Griferia-General.pdf,Griferia General
040704001,Griferia General,Grifería General,,04_Griferia-General.pdf,Griferia General
040806102,Griferia General,con Codo Salida Salida Recta con Codo Salida,Tubo 20 cm,04_Griferia-General.pdf,Griferia General
040806105,Griferia General,con Codo Salida Salida Recta con Codo Salida,En Bolsa,04_Griferia-General.pdf,Griferia General
040806201,Griferia General,con Codo Salida Salida Recta con Codo Salida,,04_Griferia-General.pdf,Griferia General
040806202,Griferia General,con Codo Salida Salida Recta con Codo Salida,Tubo 25 cm,04_Griferia-General.pdf,Griferia General
040806205,Griferia General,con Codo Salida Salida Recta con Codo Salida,En Caja,04_Griferia-General.pdf,Griferia General
040806301,Griferia General,con Codo Salida Salida Recta con Codo Salida,),04_Griferia-General.pdf,Griferia General
040806401,Griferia General,Tubo 35 cm,),04_Griferia-General.pdf,Griferia General
040906105,Griferia General,con Codo Salida Salida Recta con Codo Salida,En Bolsa,04_Griferia-General.pdf,Griferia General
040906205,Griferia General,con Codo Salida Salida Recta con Codo Salida,En Caja,04_Griferia-General.pdf,Griferia General
040906206,Griferia General,con Codo Salida Salida Recta con Codo Salida,En Caja,04_Griferia-General.pdf,Griferia General
040907202,Griferia General,Tubo 35 cm,),04_Griferia-General.pdf,Griferia General
041006001,Griferia General,Desagüe Lavatorio 1.1/4”,,04_Griferia-General.pdf,Griferia General
041006002,Griferia General,(Lavatorio Común),,04_Griferia-General.pdf,Griferia General
041006005,Griferia General,Sin Cola Sin Cola ni Rebalse,,04_Griferia-General.pdf,Griferia General
041006006,Griferia General,Sin Cola Sin Cola ni Rebalse,,04_Griferia-General.pdf,Griferia General
041006007,Griferia General,Sin Cola Sin Cola ni Rebalse,,04_Griferia-General.pdf,Griferia General
041007003,Griferia General,Desagüe Automático,,04_Griferia-General.pdf,Griferia General
041107001,Griferia General,Sin Cola Sin Cola ni Rebalse,,04_Griferia-General.pdf,Griferia General
041201001,Griferia General,Mejorado,,04_Griferia-General.pdf,Griferia General
041202001,Griferia General,Monoblock Lavaplato Combinación Lavaplato Cuerpo Fundido,,04_Griferia-General.pdf,Griferia General
041301001,Griferia General,Mejorado,,04_Griferia-General.pdf,Griferia General
041302002,Griferia General,Mejorada Sin Garantía Plástica Mirage Sin Garantía,,04_Griferia-General.pdf,Griferia General
041401001,Griferia General,Combinación Lavaplato Base 04,,04_Griferia-General.pdf,Griferia General
041402001,Griferia General,Combinación Quirúrgica 8”,) 220 mm,04_Griferia-General.pdf,Griferia General
041402002,Griferia General,Combinación Quirúrgica 8”,) 290 mm,04_Griferia-General.pdf,Griferia General
041403006,Griferia General,Mejorada Sin Garantía Plástica Mirage Sin Garantía,,04_Griferia-General.pdf,Griferia General
041703001,Teflones,Teﬂón Doméstico Teﬂones,1/2” 04,17_Teflones.pdf,Teflones
041703002,Teflones,Teﬂón Mejorado Teﬂón Amarillo,1/2”,17_Teflones.pdf,Teflones
041703003,Teflones,Teﬂón Maestro,1/2”,17_Teflones.pdf,Teflones
041703004,Teflones,Teﬂón Doméstico Teﬂones,1/2”,17_Teflones.pdf,Teflones
041703005,Teflones,Teﬂón Mejorado Teﬂón Amarillo,1/2”,17_Teflones.pdf,Teflones
041704001,Teflones,Teﬂón Doméstico Teﬂones,3/4”,17_Teflones.pdf,Teflones
041704002,Teflones,Teﬂón Mejorado Teﬂón Amarillo,3/4”,17_Teflones.pdf,Teflones
041704003,Teflones,Teﬂón Maestro,3/4”,17_Teflones.pdf,Teflones
